"gn_participant","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete"
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN01",1,"20",20,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN11",1,"1",1,1,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN19",1,"1",1,1,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN02",2,"3",3,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN015",2,"2",2,1,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN18",2,"2",2,1,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN07",3,"3",3,1,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN14",3,"9",9,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN23",3,"7",7,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN03",4,"4",4,1,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN09",4,"9",9,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN21",4,"5",5,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN06",5,"20",20,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN12",5,"3",3,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN20",5,"16",16,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN05",6,"20",20,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN10",6,"9",9,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN24",6,"6",6,1,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN04",8,"7",7,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN16",8,"12",12,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN22",8,"9",9,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN08",10,"2",2,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN13",10,"9",9,0,1
"mn094","iucoglearn","R_6D71371vHFK3m3R","Yes (Please include date of testing)","11-14-2025","","GN17",10,"20",20,0,1
